vmID,Read_Iops,Write_Iops,Read_Latency,Write_Latency,Memory,CPU_Cores,Location,B&R_Location,Cloud_%,OnPrem_%,Reliability_%,Cost_$,Policy_Num
VM-9,20,45,272,244,2048,3,New Hampshire,Oklahoma,35,65,58,17283,1
VM-9,5,9,296,244,1024,5,Rhode Island,South Carolina,27,73,52,17172,1
VM-7,41,3,218,221,3072,7,New Jersey,Mississippi,46,54,65,11427,1
VM-10,15,44,210,267,3072,15,Alabama,New Mexico,19,81,61,14446,1
VM-3,27,28,211,293,3072,6,Kentucky,Georgia,67,33,65,15922,1
VM-5,22,1,271,200,1024,14,Wyoming,Ohio,76,24,60,16698,1
VM-5,17,1,277,236,2048,14,Georgia,Idaho,34,66,61,13684,1
VM-3,8,31,206,240,2048,7,Virginia,West Virginia,86,14,55,19046,1
VM-8,3,12,299,250,2048,4,Arizona,Georgia,53,47,65,15342,1
VM-7,30,28,240,269,1024,9,New York,Virginia,5,95,54,11001,1
VM-9,8,36,277,268,3072,6,Rhode Island,Nevada,14,86,51,18654,1
VM-10,47,12,271,270,2048,3,New Jersey,Oregon,40,60,54,10851,1
VM-9,6,25,224,214,3072,15,Wyoming,Wisconsin,99,1,68,12836,1
VM-6,38,4,288,203,3072,14,Kentucky,Maine,91,9,68,17475,1
VM-4,41,33,299,297,1024,5,California,Alaska,50,50,68,11793,1
VM-5,21,14,293,209,2048,1,Montana,New Mexico,97,3,58,17252,1
VM-3,34,39,215,271,2048,4,Wyoming,South Carolina,54,46,55,18107,1
VM-7,1,22,281,208,2048,8,Florida,Missouri,67,33,66,15443,1
VM-7,3,17,225,236,3072,4,West Virginia,Wyoming,23,77,50,12357,1
VM-10,44,46,280,203,2048,14,Pennsylvania,Iowa,89,11,61,10996,1
VM-8,30,48,284,202,3072,11,California,Louisiana,4,96,67,15836,1
VM-6,10,3,217,267,1024,13,Utah,Indiana,58,42,52,12809,1
VM-9,1,25,293,216,1024,13,Utah,Nebraska,73,27,67,19231,1
VM-9,16,23,250,210,1024,8,Kentucky,Nevada,1,99,66,17547,1
VM-10,9,40,295,291,3072,6,Virginia,West Virginia,19,81,64,12718,1
VM-7,8,36,259,300,1024,15,Tennessee,Alabama,87,13,63,19970,1
VM-5,42,11,236,238,1024,10,Pennsylvania,New York,70,30,63,16710,1
VM-3,12,34,292,284,3072,9,Wyoming,Missouri,99,1,70,19851,1
VM-10,36,45,211,237,1024,9,Minnesota,Indiana,88,12,66,10251,1
VM-7,47,45,297,249,2048,8,New York,Vermont,31,69,52,14672,1
VM-5,8,33,294,237,2048,14,Michigan,Vermont,88,12,69,17047,1
VM-10,44,21,233,298,2048,3,Colorado,Maryland,6,94,52,10803,1
VM-5,2,3,244,292,3072,7,Maryland,Pennsylvania,87,13,50,13649,1
VM-7,10,21,271,299,2048,13,Wyoming,Colorado,96,4,60,19184,1
VM-8,10,14,254,299,3072,10,Colorado,Connecticut,79,21,56,12264,1
VM-9,21,9,219,259,3072,8,Indiana,South Carolina,60,40,55,11220,1
VM-2,23,41,231,202,3072,6,California,South Carolina,91,9,70,11638,1
VM-5,44,14,210,207,3072,10,Alabama,Missouri,55,45,61,15096,1
VM-4,17,7,291,218,2048,13,Wyoming,New York,82,18,65,16227,1
VM-5,47,39,255,274,1024,1,South Carolina,Arkansas,6,94,52,18115,1
VM-1,17,41,264,241,2048,15,Michigan,Georgia,32,68,55,18726,1
VM-6,33,39,249,296,1024,10,Maryland,Delaware,46,54,53,17840,1
VM-2,33,11,219,248,3072,14,Missouri,Arkansas,89,11,69,18968,1
VM-8,46,24,255,246,1024,1,Kansas,Ohio,25,75,66,17571,1
VM-2,36,37,241,265,2048,10,New Mexico,Alabama,32,68,62,18808,1
VM-6,38,30,211,225,2048,13,Alabama,Nevada,47,53,64,18738,1
VM-10,9,14,294,223,3072,14,North Dakota,North Dakota,37,63,64,10533,1
VM-8,48,35,298,238,1024,12,South Dakota,Iowa,85,15,63,17504,1
VM-6,5,8,284,208,2048,14,Ohio,Hawaii,98,2,62,19491,1
VM-10,49,17,236,201,1024,13,Wisconsin,Louisiana,60,40,68,15566,1
VM-2,40,34,287,203,3072,9,Louisiana,Florida,91,9,54,12267,1
VM-4,16,38,206,212,2048,10,Colorado,Utah,97,3,60,13211,1
VM-2,43,5,278,262,2048,15,Alabama,South Carolina,72,28,56,14086,1
VM-10,22,9,221,201,1024,14,New Jersey,Alabama,25,75,51,15869,1
VM-7,17,44,276,235,3072,12,Iowa,New York,63,37,64,16824,1
VM-2,5,27,261,209,3072,1,Arkansas,Pennsylvania,20,80,56,16584,1
VM-6,42,20,269,222,3072,2,Wyoming,Tennessee,59,41,63,17424,1
VM-10,39,41,265,253,1024,6,North Dakota,Oregon,61,39,53,14087,1
VM-4,44,31,200,271,2048,14,Nebraska,New York,91,9,60,18754,1
VM-8,25,41,293,227,2048,13,Oklahoma,New York,33,67,55,18251,1
VM-2,47,3,293,244,2048,7,Nebraska,South Carolina,67,33,63,16219,1
VM-9,43,13,280,203,1024,14,Michigan,Delaware,27,73,52,18986,1
VM-5,3,9,200,285,2048,6,Washington,North Carolina,2,98,56,19023,1
VM-6,50,22,205,282,1024,13,Florida,Nevada,1,99,54,16164,1
VM-2,21,7,273,280,3072,11,Minnesota,Iowa,84,16,55,12831,1
VM-1,5,37,227,202,3072,12,Rhode Island,Kentucky,93,7,51,12581,1
VM-3,40,31,256,284,3072,15,New Hampshire,Arkansas,86,14,58,16135,1
VM-6,4,27,283,287,1024,12,New Jersey,South Carolina,5,95,60,17142,1
VM-9,41,50,265,255,2048,8,Michigan,Maryland,32,68,51,16503,1
VM-6,27,41,300,284,2048,8,Maine,Louisiana,3,97,63,12189,1
VM-2,44,15,201,216,1024,5,Kentucky,Massachusetts,83,17,65,14305,1
VM-6,4,44,266,292,3072,2,Missouri,Wyoming,11,89,70,12701,1
VM-7,26,1,229,231,2048,12,Maine,Indiana,45,55,58,14337,1
VM-9,46,18,280,208,2048,6,West Virginia,Mississippi,32,68,51,17572,1
VM-1,7,9,277,215,1024,3,Maine,Virginia,99,1,58,14386,1
VM-9,11,16,220,212,2048,3,Vermont,Missouri,30,70,54,16572,1
VM-5,46,4,248,256,1024,15,New York,Pennsylvania,80,20,54,11619,1
VM-5,10,19,229,281,2048,2,Montana,Delaware,33,67,62,10706,1
VM-10,44,13,290,253,1024,3,North Carolina,Indiana,11,89,69,16253,1
VM-6,31,48,267,250,2048,2,Arkansas,Alaska,77,23,69,14455,1
VM-5,18,35,248,269,2048,7,Missouri,Iowa,56,44,57,13838,1
VM-8,45,31,276,214,3072,11,New York,Tennessee,2,98,53,16489,1
VM-7,22,12,289,298,3072,3,Oregon,Wisconsin,77,23,56,18016,1
VM-1,24,20,209,294,3072,13,North Carolina,Alaska,60,40,60,15983,1
VM-7,48,50,201,236,1024,14,Florida,North Carolina,66,34,59,18112,1
VM-2,39,6,264,278,3072,1,Washington,Arizona,47,53,68,19183,1
VM-10,40,7,289,236,3072,15,Minnesota,Washington,93,7,57,12873,1
VM-7,41,39,228,267,2048,6,New Hampshire,Pennsylvania,38,62,67,11043,1
VM-1,6,4,291,264,1024,12,West Virginia,Washington,34,66,53,17940,1
VM-7,24,49,203,234,3072,3,Connecticut,Kansas,32,68,65,15561,1
VM-2,30,18,212,201,1024,2,Georgia,Indiana,43,57,64,15403,1
VM-1,29,41,210,292,2048,6,Alaska,Colorado,28,72,65,18212,1
VM-3,23,49,236,214,2048,4,North Carolina,Indiana,96,4,51,14443,1
VM-9,41,48,242,264,3072,6,Utah,Arkansas,60,40,60,19505,1
VM-5,14,28,224,245,1024,15,Kentucky,Tennessee,8,92,58,18495,1
VM-2,5,6,273,201,3072,6,Rhode Island,Ohio,1,99,65,16927,1
VM-4,44,11,242,206,1024,14,Hawaii,Louisiana,57,43,62,15400,1
VM-4,3,14,233,215,2048,6,Utah,Wisconsin,8,92,52,18244,1
VM-1,30,30,293,296,2048,5,Wyoming,Vermont,29,71,51,16592,1
VM-4,13,4,289,262,2048,2,Tennessee,Iowa,92,8,63,11146,1
VM-10,33,15,230,243,3072,7,Idaho,Kentucky,33,67,54,14426,1
VM-6,23,42,271,208,2048,10,Nebraska,Florida,33,67,54,12410,1
VM-7,17,28,204,222,1024,13,Alaska,Idaho,55,45,58,16735,1
VM-6,13,22,299,269,2048,2,Nevada,Michigan,71,29,52,13531,1
VM-8,11,47,209,279,1024,6,Missouri,Texas,44,56,52,12400,1
VM-9,4,36,278,277,1024,10,Nebraska,North Carolina,3,97,68,14286,1
VM-4,4,20,223,230,3072,3,Maine,Kansas,2,98,51,11025,1
VM-1,32,44,285,240,3072,9,Mississippi,Tennessee,85,15,70,15716,1
VM-7,37,21,252,287,3072,13,Arkansas,Oregon,64,36,56,10471,1
VM-10,23,22,281,202,1024,11,New Mexico,Georgia,57,43,58,16821,1
VM-4,10,27,221,282,1024,7,Hawaii,Montana,78,22,54,12159,1
VM-10,13,40,291,227,2048,13,Vermont,Arizona,72,28,68,13471,1
VM-2,10,2,231,270,3072,12,Nebraska,Connecticut,54,46,70,10884,1
VM-7,4,2,256,209,2048,9,Rhode Island,California,12,88,64,10256,1
VM-8,33,24,257,222,2048,14,Mississippi,Missouri,91,9,51,13823,1
VM-10,30,30,266,293,1024,6,Iowa,Arizona,26,74,61,18654,1
VM-9,37,28,283,224,3072,14,Kansas,Washington,11,89,55,19334,1
VM-1,33,7,206,275,1024,8,South Dakota,Montana,99,1,55,11687,1
VM-8,36,33,255,266,1024,11,Delaware,Alaska,3,97,56,18648,1
VM-1,47,5,253,219,3072,4,Maryland,North Dakota,1,99,58,19931,1
VM-8,15,47,236,206,3072,2,Florida,Nevada,93,7,57,11051,1
VM-4,35,24,280,257,3072,15,South Carolina,Kentucky,62,38,60,16626,1
VM-3,27,47,242,262,2048,11,Delaware,Hawaii,76,24,51,10557,1
VM-8,27,9,221,250,3072,9,Montana,Mississippi,96,4,51,14968,1
VM-6,39,4,278,238,3072,12,Massachusetts,New Hampshire,78,22,56,10329,1
VM-2,21,47,284,222,1024,9,West Virginia,New Hampshire,81,19,53,13894,1
VM-1,4,23,255,215,2048,2,Indiana,Virginia,96,4,68,10942,1
VM-10,5,44,225,209,3072,6,Texas,Massachusetts,49,51,63,15540,1
VM-9,1,39,286,295,3072,9,Pennsylvania,Maine,58,42,67,18084,1
VM-3,20,9,288,221,3072,13,Rhode Island,California,34,66,65,13945,1
VM-9,48,29,257,299,3072,4,Kentucky,Alabama,58,42,53,11630,1
VM-2,42,48,208,236,3072,2,Oklahoma,Florida,84,16,58,14063,1
VM-3,12,15,286,229,3072,4,Kansas,Oklahoma,67,33,65,19696,1
VM-7,16,15,253,272,2048,6,Connecticut,Massachusetts,62,38,50,12154,1
VM-9,13,5,248,232,2048,3,Idaho,Pennsylvania,36,64,64,13326,1
VM-1,34,38,259,268,2048,15,Alaska,Mississippi,51,49,65,12037,1
VM-3,44,35,260,282,3072,2,Arkansas,Pennsylvania,56,44,51,13112,1
VM-8,20,5,235,278,3072,6,Maine,Ohio,46,54,50,17686,1
VM-6,7,12,288,278,1024,2,Texas,Oregon,9,91,57,16238,1
VM-7,23,10,288,200,2048,14,Texas,Illinois,61,39,53,15767,1
VM-10,33,41,280,283,1024,14,Arizona,West Virginia,28,72,62,18137,1
VM-8,50,14,229,276,1024,11,Texas,Alabama,56,44,62,15542,1
VM-5,39,18,244,213,1024,9,Mississippi,Texas,41,59,50,13273,1
VM-6,50,25,225,225,2048,14,Wisconsin,Wisconsin,42,58,59,13080,1
VM-1,8,37,269,205,2048,1,Kentucky,Oklahoma,13,87,69,13599,1
VM-9,37,24,210,231,3072,5,Minnesota,Kentucky,27,73,61,18863,1
VM-9,38,44,256,208,2048,6,Mississippi,Wyoming,14,86,68,10379,1
VM-5,29,24,289,272,1024,13,Michigan,Hawaii,35,65,63,16944,1
VM-6,44,20,204,300,2048,10,Washington,California,33,67,58,11535,1
VM-2,24,41,291,266,1024,3,North Carolina,Wyoming,84,16,62,13934,1
VM-10,32,45,217,292,1024,7,Iowa,Mississippi,60,40,58,18115,1
VM-1,38,8,256,230,1024,10,California,Arizona,79,21,59,10689,1
VM-7,30,17,251,287,3072,8,Montana,Arizona,93,7,51,12259,1
VM-4,34,31,264,277,2048,8,Maryland,Alaska,5,95,69,18300,1
VM-6,20,22,300,201,1024,1,Nebraska,Pennsylvania,47,53,53,18576,1
VM-9,22,34,291,290,1024,15,Delaware,Delaware,28,72,56,16419,1
VM-9,12,4,236,259,1024,8,Ohio,Texas,66,34,61,14240,1
VM-6,37,1,247,264,3072,3,Texas,Wisconsin,88,12,61,12431,1
VM-3,44,36,217,236,1024,5,Arizona,Alabama,97,3,52,14822,1
VM-10,37,23,244,210,1024,15,Delaware,Arkansas,60,40,62,19050,1
VM-6,8,42,239,247,2048,10,Missouri,Michigan,51,49,55,19247,1
VM-8,30,4,288,271,1024,6,Hawaii,Florida,87,13,66,13664,1
VM-1,46,11,212,227,3072,8,Florida,Pennsylvania,71,29,51,14507,1
VM-3,37,34,214,259,1024,5,Idaho,Texas,29,71,66,12674,1
VM-4,36,25,287,289,1024,2,South Dakota,Missouri,70,30,55,10646,1
VM-7,11,38,250,220,2048,13,Vermont,Illinois,41,59,50,19325,1
VM-1,12,30,202,261,3072,3,Kentucky,Alabama,54,46,70,11039,1
VM-10,32,24,217,213,1024,4,Alabama,Nevada,52,48,66,10172,1
VM-7,22,46,255,269,2048,2,Idaho,Virginia,92,8,69,18569,1
VM-7,46,25,254,264,1024,12,Georgia,Tennessee,50,50,60,18569,1
VM-1,49,21,259,214,3072,4,New Jersey,Oregon,17,83,61,13730,1
VM-7,22,45,275,239,3072,6,Mississippi,Connecticut,39,61,62,10097,1
VM-9,25,11,286,202,1024,4,Maryland,South Dakota,69,31,67,18532,1
VM-7,18,10,224,273,1024,9,Kentucky,Oklahoma,78,22,66,18277,1
VM-8,38,45,283,216,2048,2,Kansas,Minnesota,15,85,55,10285,1
VM-9,21,35,273,250,3072,15,Florida,Wisconsin,16,84,50,13841,1
VM-8,43,15,280,219,2048,10,Maine,Florida,59,41,59,14638,1
VM-3,20,26,251,228,2048,12,Illinois,New Mexico,28,72,69,11449,1
VM-9,2,43,272,265,1024,13,New Hampshire,Kentucky,22,78,61,17380,1
VM-10,31,22,227,240,2048,14,Idaho,Delaware,65,35,53,10551,1
VM-9,46,6,257,288,2048,8,Indiana,South Dakota,8,92,59,17751,1
VM-1,25,7,243,261,3072,9,South Dakota,North Dakota,74,26,60,17026,1
VM-9,17,5,209,242,3072,10,Utah,North Carolina,99,1,69,18352,1
VM-7,10,31,271,206,1024,1,Alabama,Illinois,97,3,55,12740,1
VM-6,42,48,250,246,3072,1,Georgia,Oregon,38,62,60,19465,1
VM-9,3,2,222,290,3072,7,Idaho,Colorado,65,35,62,17693,1
VM-3,15,11,278,224,2048,6,New Jersey,Rhode Island,32,68,56,14055,1
VM-2,25,31,200,208,3072,6,Florida,New York,26,74,67,15365,1
VM-9,2,39,278,298,2048,12,New Mexico,Arizona,97,3,66,15689,1
VM-7,21,1,209,214,3072,5,Alabama,Indiana,50,50,52,17022,1
VM-3,22,25,268,278,1024,14,California,Maryland,86,14,58,18022,1
VM-6,41,36,226,278,3072,1,Maine,Missouri,96,4,53,14516,1
VM-9,17,27,297,223,2048,1,New York,Nevada,54,46,55,12536,1
VM-1,15,33,292,277,2048,4,Massachusetts,New Hampshire,21,79,55,13011,1
VM-2,8,2,278,217,1024,14,Washington,Virginia,97,3,64,17744,1
VM-6,7,38,251,291,3072,11,New Mexico,New Hampshire,98,2,60,17717,1
VM-9,42,33,204,223,1024,11,Tennessee,Alaska,65,35,67,19228,1
VM-2,48,19,259,266,2048,12,Ohio,Idaho,65,35,50,14592,1
VM-9,33,34,298,264,3072,12,Florida,Minnesota,4,96,68,14358,1
VM-4,37,41,294,260,2048,9,South Carolina,Wisconsin,28,72,67,17208,1
VM-6,23,23,228,201,1024,12,South Dakota,New Hampshire,13,87,60,15582,1
VM-4,34,7,212,240,2048,7,Kansas,California,61,39,70,15186,1
VM-5,33,31,244,250,3072,1,California,Mississippi,97,3,57,11820,1
VM-6,30,7,268,221,1024,11,Maine,New Mexico,31,69,50,17801,1
VM-5,15,6,261,221,2048,15,Ohio,Oklahoma,97,3,65,10701,1
VM-8,43,39,223,277,2048,13,Indiana,Alabama,19,81,69,12435,1
VM-6,38,26,202,243,1024,15,Maine,Nevada,23,77,58,13987,1
VM-1,5,44,204,223,1024,4,Utah,South Carolina,29,71,66,13313,1
VM-9,23,13,210,222,3072,10,Alaska,South Dakota,21,79,60,16407,1
VM-9,36,6,291,204,2048,2,Washington,Kentucky,3,97,61,10602,1
VM-5,35,43,220,275,1024,15,Oklahoma,Oklahoma,3,97,54,14256,1
VM-5,2,7,259,250,2048,10,Arizona,Washington,89,11,53,14842,1
VM-1,26,36,275,246,2048,15,West Virginia,Hawaii,35,65,67,15034,1
VM-1,43,19,231,257,1024,5,Illinois,South Dakota,48,52,69,13167,1
VM-6,45,23,263,283,1024,13,Alabama,Florida,70,30,67,19548,1
VM-6,14,11,247,300,1024,12,Maine,South Carolina,92,8,62,12476,1
VM-7,22,42,206,224,1024,14,Oklahoma,Washington,28,72,63,12241,1
VM-9,6,48,248,264,1024,15,Mississippi,Maine,33,67,54,14283,1
VM-3,41,29,277,222,2048,12,Illinois,Illinois,11,89,56,14036,1
VM-1,47,24,284,204,3072,14,Oregon,North Dakota,64,36,62,11920,1
VM-9,44,50,246,260,3072,2,New Hampshire,Hawaii,84,16,59,19274,1
VM-1,31,27,278,252,3072,15,South Dakota,Arizona,66,34,51,19083,1
VM-3,12,19,214,221,1024,9,Vermont,Connecticut,4,96,63,10334,1
VM-6,29,3,285,224,3072,4,Rhode Island,Montana,9,91,66,13011,1
VM-9,16,3,252,288,1024,1,Colorado,New York,56,44,55,10202,1
VM-2,22,5,248,252,3072,14,Wisconsin,California,64,36,68,10919,1
VM-2,27,33,276,249,3072,2,Maine,Hawaii,66,34,57,18339,1
VM-8,36,3,209,293,3072,13,New Jersey,Wisconsin,70,30,62,14603,1
VM-6,47,28,275,262,2048,8,Mississippi,Missouri,35,65,50,19611,1
VM-2,30,36,231,295,1024,1,Michigan,Nevada,7,93,55,17192,1
VM-3,16,28,273,213,2048,15,Nebraska,Pennsylvania,22,78,51,12796,1
VM-2,13,2,227,238,3072,10,Pennsylvania,Michigan,28,72,60,16969,1
VM-4,42,21,265,263,2048,7,Massachusetts,Maine,13,87,69,14918,1
VM-10,29,3,204,257,2048,3,California,Vermont,43,57,55,16576,1
VM-6,36,2,297,207,1024,14,Wyoming,Alaska,41,59,69,15392,1
VM-10,22,3,295,260,3072,5,Wisconsin,Kentucky,16,84,68,10072,1
VM-10,8,22,260,232,2048,4,Wyoming,Massachusetts,78,22,55,10788,1
VM-7,31,12,251,242,3072,2,New Jersey,Wyoming,22,78,52,11516,1
VM-3,22,1,206,270,2048,14,Iowa,Florida,39,61,66,15964,1
VM-10,29,17,295,229,3072,11,Colorado,Arizona,42,58,52,11586,1
VM-4,28,30,265,289,1024,1,New Hampshire,Idaho,50,50,56,15840,1
VM-9,26,17,274,208,1024,7,Virginia,Utah,77,23,58,15194,1
VM-10,15,34,274,281,3072,13,Mississippi,Florida,33,67,63,17987,1
VM-5,10,2,254,223,1024,12,Hawaii,Pennsylvania,42,58,68,19255,1
VM-6,42,42,274,259,3072,5,Nebraska,Alaska,54,46,57,17146,1
VM-7,17,30,292,278,3072,10,Mississippi,Texas,99,1,53,11254,1
VM-9,44,6,286,261,1024,11,Nebraska,Arizona,24,76,68,19907,1
VM-3,28,45,282,254,2048,15,Nebraska,Delaware,62,38,68,12797,1
VM-8,24,41,241,250,3072,9,Washington,New Jersey,72,28,64,19051,1
VM-8,46,10,211,262,1024,15,Connecticut,South Carolina,77,23,52,11315,1
VM-10,1,13,260,202,2048,7,New York,Oregon,88,12,60,12569,1
VM-6,18,19,208,224,2048,14,Michigan,Georgia,30,70,64,15078,1
VM-8,33,35,213,298,2048,10,New Jersey,Missouri,4,96,66,12266,1
VM-4,38,13,284,216,1024,12,Mississippi,New York,73,27,53,14374,1
VM-8,42,10,252,260,3072,12,North Dakota,Washington,15,85,69,16610,1
VM-4,16,46,243,283,3072,12,Wisconsin,South Dakota,83,17,52,13603,1
VM-7,38,12,267,229,1024,6,Maryland,South Dakota,32,68,65,18637,1
VM-2,49,2,253,222,1024,7,Maine,Maryland,93,7,52,16321,1
VM-10,29,43,223,300,3072,10,Virginia,Florida,23,77,67,10809,1
VM-3,25,16,262,297,3072,8,Hawaii,Alabama,34,66,63,14757,1
VM-3,7,9,275,288,2048,7,Ohio,North Carolina,15,85,64,10240,1
VM-3,34,48,226,256,1024,2,Wisconsin,Maine,75,25,58,18707,1
VM-3,8,32,224,279,1024,5,Michigan,North Dakota,70,30,64,10396,1
VM-9,2,13,291,227,2048,11,Wisconsin,Michigan,19,81,55,12331,1
VM-9,32,11,264,264,3072,1,Illinois,Hawaii,77,23,63,12007,1
VM-8,30,5,214,273,1024,8,Kentucky,South Carolina,49,51,68,17043,1
VM-8,18,9,219,300,1024,14,Rhode Island,Michigan,56,44,51,10125,1
VM-1,4,46,278,230,2048,15,Massachusetts,Wisconsin,67,33,56,18303,1
VM-3,10,36,255,296,2048,6,Florida,Indiana,89,11,54,16631,1
VM-3,20,1,227,274,3072,9,Pennsylvania,Georgia,65,35,56,16189,1
VM-7,19,43,283,289,2048,1,West Virginia,Alabama,10,90,57,19441,1
VM-8,44,46,262,202,2048,11,North Carolina,New Mexico,66,34,59,17873,1
VM-9,38,7,256,205,1024,15,Virginia,Connecticut,88,12,69,13796,1
VM-8,23,14,296,288,2048,15,Maine,Nevada,41,59,53,19266,1
VM-6,23,22,294,252,3072,15,Arizona,New Mexico,47,53,62,16409,1
VM-7,6,20,242,279,1024,12,Louisiana,Iowa,87,13,67,11955,1
VM-10,24,47,204,284,3072,11,Kansas,Louisiana,1,99,67,14888,1
VM-4,7,36,201,278,2048,13,Louisiana,Alaska,34,66,54,14794,1
VM-1,33,48,264,233,1024,15,New Hampshire,Florida,79,21,56,10042,1
VM-4,45,45,228,292,3072,4,Nevada,New Mexico,78,22,63,14108,1
VM-4,20,29,299,239,3072,14,Michigan,Tennessee,79,21,58,17550,1
VM-2,27,37,252,228,1024,6,New Mexico,Connecticut,62,38,54,16660,1
VM-4,18,2,273,236,1024,12,Alaska,Maine,35,65,61,11120,1
VM-9,37,24,230,295,2048,8,South Dakota,Hawaii,70,30,58,10358,1
VM-10,47,28,255,205,1024,6,Wyoming,Virginia,45,55,58,19184,1
VM-6,25,47,228,272,3072,15,Maine,Iowa,50,50,60,10924,1
VM-6,44,43,276,300,1024,9,Louisiana,Nebraska,41,59,59,16729,1
VM-6,10,37,220,255,1024,2,Arizona,Michigan,58,42,61,17487,1
VM-8,40,37,278,295,1024,7,North Dakota,Nebraska,4,96,57,19537,1
VM-4,1,19,284,275,1024,4,North Dakota,Alabama,90,10,58,15659,1
VM-6,3,34,274,275,2048,12,Pennsylvania,Illinois,9,91,70,19326,1
VM-4,18,19,246,246,3072,8,Iowa,Oklahoma,83,17,64,17327,1
VM-2,19,2,247,291,3072,14,Maryland,Indiana,26,74,56,11569,1
VM-6,49,39,206,205,3072,2,Louisiana,South Carolina,15,85,68,17923,1
VM-1,48,50,223,272,2048,7,North Dakota,Missouri,2,98,55,18281,1
VM-10,17,45,290,216,1024,13,Tennessee,Oklahoma,13,87,61,19123,1
VM-5,26,16,265,207,2048,11,Florida,Massachusetts,54,46,64,13983,1
VM-7,11,37,242,260,1024,5,Utah,Alabama,82,18,62,16326,1
VM-5,42,2,255,293,1024,7,Wisconsin,California,52,48,67,13279,1
VM-3,9,8,241,287,3072,3,Colorado,Delaware,50,50,67,16577,1
VM-1,41,32,224,225,3072,13,Minnesota,South Carolina,13,87,57,18048,1
VM-1,17,46,269,281,3072,15,Colorado,Michigan,29,71,55,17779,1
VM-4,29,5,213,239,1024,12,South Dakota,Mississippi,58,42,52,19121,1
VM-9,16,12,200,201,1024,7,North Dakota,Kansas,80,20,63,18323,1
VM-6,31,33,249,228,3072,4,North Dakota,Illinois,26,74,65,18617,1
VM-10,42,30,210,248,3072,7,Minnesota,Delaware,70,30,61,14099,1
VM-1,42,48,267,276,3072,9,Rhode Island,Florida,24,76,57,19424,1
VM-6,39,37,246,290,1024,2,Montana,Pennsylvania,78,22,53,16265,1
VM-10,39,47,222,219,3072,6,Arizona,Alaska,76,24,63,11781,1
VM-9,12,1,275,236,2048,2,Vermont,Connecticut,82,18,52,11775,1
VM-1,25,37,220,234,2048,10,Iowa,Mississippi,35,65,62,12380,1
VM-8,29,2,208,300,1024,8,Delaware,Maryland,73,27,64,14759,1
VM-2,50,34,252,286,2048,15,Idaho,Massachusetts,37,63,70,11454,1
VM-2,22,34,208,217,1024,5,Kansas,Minnesota,31,69,50,15716,1
VM-8,40,24,300,250,3072,2,Texas,Kansas,26,74,62,18092,1
VM-6,39,15,280,223,2048,12,Rhode Island,North Dakota,73,27,61,12930,1
VM-2,12,50,235,255,2048,8,Alabama,Iowa,30,70,60,18936,1
VM-4,43,16,207,200,1024,7,Alabama,New Mexico,72,28,61,15572,1
VM-6,30,9,272,239,2048,6,Utah,Delaware,45,55,54,11213,1
VM-2,3,6,249,200,2048,14,Mississippi,Missouri,12,88,54,18602,1
VM-7,34,5,265,231,1024,14,Montana,Maine,69,31,52,12300,1
VM-4,29,50,230,258,3072,2,Louisiana,Tennessee,5,95,64,10036,1
VM-8,14,33,220,292,2048,14,Maryland,Mississippi,20,80,56,16126,1
VM-4,32,2,205,275,3072,4,Kentucky,Montana,88,12,66,12344,1
VM-6,9,32,206,215,3072,14,Iowa,Delaware,76,24,58,11353,1
VM-5,37,43,278,220,2048,7,Montana,Kansas,74,26,64,10455,1
VM-8,40,50,254,286,1024,12,Michigan,Alabama,50,50,65,16577,1
VM-3,20,47,295,231,2048,2,Idaho,North Dakota,63,37,57,16628,1
VM-8,49,46,298,249,3072,2,South Carolina,Maine,66,34,67,14340,1
VM-2,46,12,273,280,1024,1,South Dakota,Rhode Island,64,36,52,17273,1
VM-9,9,22,261,224,2048,15,Oklahoma,Minnesota,75,25,60,13567,1
VM-2,18,47,268,205,3072,4,New Mexico,Louisiana,90,10,58,12261,1
VM-4,41,11,276,257,2048,14,Missouri,Arkansas,1,99,53,19234,1
VM-3,38,13,275,259,1024,10,Oregon,Montana,47,53,54,12260,1
VM-5,4,34,234,218,1024,7,Wisconsin,Oklahoma,53,47,70,11656,1
VM-10,11,34,225,243,1024,12,Montana,Connecticut,32,68,62,13866,1
VM-3,3,14,286,293,3072,7,Oklahoma,Idaho,27,73,65,12601,1
VM-7,29,4,210,296,2048,9,Rhode Island,North Carolina,28,72,53,15049,1
VM-6,11,10,220,289,2048,11,Ohio,Oklahoma,49,51,54,13277,1
VM-3,17,27,234,262,3072,7,Alabama,Wyoming,27,73,54,19881,1
VM-7,48,35,259,202,3072,15,Kansas,Texas,47,53,51,16025,1
VM-9,29,21,223,274,1024,8,Wisconsin,Alabama,76,24,62,17007,1
VM-8,20,6,242,282,3072,2,Nebraska,Wyoming,86,14,67,13901,1
VM-4,34,37,273,294,1024,10,New Hampshire,Virginia,51,49,52,15066,1
VM-3,4,28,240,251,1024,2,Washington,Utah,79,21,60,12149,1
VM-1,47,46,261,207,2048,9,Nebraska,Louisiana,33,67,62,19763,1
VM-8,13,44,221,277,1024,15,California,New York,73,27,70,14654,1
VM-2,41,23,246,225,2048,11,South Dakota,Montana,66,34,65,18240,1
VM-4,18,19,275,284,1024,3,Georgia,Colorado,61,39,54,11443,1
VM-9,8,2,225,219,3072,8,Florida,Maine,26,74,69,12353,1
